Region;Site;Unit;Batch;Species;Start Fish Density;End Fish Density;Hatchery;Lot Quality;Origin Year;Origin Month;From;To;Start Av. Wt.;End Av.Wt.;Model End Av. Wt. Act. Feed;Av. Wt. Deviation (%);Av. Wt. Before Sampl.;Model End Av. Wt. Sugg. Feed;Actual Feed;Feed Category;Supplier;Period Feed Qty;Suggested Feed Qty;Feed Deviation (%);Opening Fish No;Opening Biomass;Closing Fish No;Closing Biomass;Harvest Biomass;Transfer - (Kg);Transfer + (Kg);Biomass Produced;Biomass Produced Before Sampl.;Econ. FCR Period;Econ FCR Period Before Sampl.;Mortality No;Model Mortality No;Mortality Deviation (%);SFR Period (%);SFR Period (%) Before Sampl.;SGR Period (%);Max Feed Qty;Food Price;Current Grading;Feeding Policy;Group Tag;Vaccinated;Feeder;Feeding Rate (Kg / Hour);Fastings No;Avg. Temp.;Avg. Oxygene;Transfer - (No);Transfer + (No);Harvest (No);Sampling (No);LTD Mortality No;LTD Mortality %;LTD Econ. FCR;Period Day Degrees;Start Av. Weight Category;End Av. Weight Category;CLASS;LOTSTART;AGE
REGION-1;SITE-1;121_K10;121_ΤΣ_0314_102;ΤΣΙΠΟΥΡΑ;6.16;6.91;HATCH-1;;2014;March;1/15/2015;3/20/2015;168.17;189.92;191.09;-0.61;191.19;168.17;SILVERLINE 5,0 mm;SILVER LINE;FEEDUS;3690;0;0;81020;13625.1334;80415;15272.4168;0;0;0;1647.2834;1749.41045;2.2400517118;2.1092820155;605;0;0;0.4;0.4;0.19;3690;0;Α;ΤΣΙΠΟΥΡΑ 2015;;Unchecked;;0;0;14.23;0;0;1;0;3;7462.36;8.5571772356;1.4976777763;885;150-200;150-200;BAD;3/1/2014;384
REGION-1;SITE-1;121_Τ3;121_ΤΣ_0414_103;ΤΣΙΠΟΥΡΑ;4.99;7.09;HATCH-1;;2014;April;11/5/2014;12/9/2014;94.62;135.1;127.1;6.29;122.38;94.62;BL 3.5 BREAM;ΒLUE LINE;FEEDUS;3840;0;0;77000;7285.74;76660;10356.766;0;0;0;3071.026;2095.9108;1.2503964473;1.8321390395;340;0;0;1.29;1.36;1.05;3840;0;Β;ΤΣΙΠΟΥΡΑ 2015;;Unchecked;;0;0;18.99;0;0;1;0;1;8202.65;9.0732109841;1.5944903196;664;50-100;100-150;GOOD;4/1/2014;252
REGION-1;SITE-1;121_Τ3;121_ΤΣ_0414_103;ΤΣΙΠΟΥΡΑ;7.09;7.98;HATCH-1;;2014;April;12/9/2014;12/31/2014;135.1;152.4;151.78;0.41;147.17;135.1;SILVERLINE 5,0 mm;SILVER LINE;FEEDUS;2070;0;0;76660;10356.766;76480;11655.552;0;0;0;1298.786;898.7956;1.5937960526;2.3030820356;180;0;0;0.86;0.87;0.55;1270;0;Β;ΤΣΙΠΟΥΡΑ 2015;;Unchecked;;0;0;17.29;0;0;0;0;2;8382.65;9.2723146856;1.5944099653;382;100-150;150-200;GOOD;4/1/2014;274
REGION-1;SITE-2;119_Α1;119_ΤΣ_0914_109;ΤΣΙΠΟΥΡΑ;;1.47;HATCH-1;;2014;September;2/7/2015;2/12/2015;55;55.21;55.81;-1.08;55.79;55;BL 3.5 BREAM;ΒLUE LINE;FEEDUS;45;0;0;35500;1952.5;35430;1956.0903;0;0;0;3.5903;24.1397;12.5337715511;1.8641490988;70;0;0;0.46;0.46;0.08;45;0;Α;ΤΣΙΠΟΥΡΑ 2015;;Unchecked;;0;0;14.85;0;0;1;0;1;6631.76;13.5534001218;1.4760940128;60;50-100;50-100;BAD;9/1/2014;164
REGION-1;SITE-2;119_Α1;119_ΤΣ_0914_109;ΤΣΙΠΟΥΡΑ;1.47;1.81;HATCH-1;;2014;September;2/12/2015;3/26/2015;55.21;68.34;67.12;1.82;67.09;55.21;BL 3.5 BREAM;ΒLUE LINE;FEEDUS;695;0;0;35430;1956.0903;35070;2396.6838;0;0;0;440.5935;396.756;1.5774177331;1.7517063384;360;0;0;0.76;0.77;0.51;695;0;Α;ΤΣΙΠΟΥΡΑ 2015;;Unchecked;;0;0;14.3;0;0;0;0;3;6991.76;14.2891360417;1.4981951299;588;50-100;50-100;GOOD;9/1/2014;206
REGION-1;SITE-2;119_52;119_ΤΣ_0714_108;ΤΣΙΠΟΥΡΑ;2.69;3.16;HATCH-1;;2014;July;1/28/2015;3/31/2015;92;108.96;106.78;2.04;106.79;92;BL 3.5 BREAM;ΒLUE LINE;FEEDUS;1842;0;0;70600;6495.2;69985;7625.5656;0;0;0;1130.3656;978.49815;1.6295612676;1.8824767323;615;0;0;0.42;0.43;0.27;1842;0;Α;ΤΣΙΠΟΥΡΑ 2015;;Unchecked;;0;0;14.43;0;0;1;0;3;6978.48;9.0757991694;1.3822155776;882;50-100;100-150;GOOD;7/1/2014;273
REGION-1;SITE-2;119_Α3;119_ΤΣ_0914_109;ΤΣΙΠΟΥΡΑ;1.4;1.92;HATCH-1;;2014;September;9/23/2014;9/30/2014;7.7;10.56;10.44;1.15;10.53;7.7;BLUELINE 1,6 mm;ΒLUE LINE;FEEDUS;450;0;0;145000;1116.5;144970;1530.8832;0;0;0;414.3832;410.0341;1.085951361;1.0974696983;30;0;0;4.9;4.9;4.51;450;0;-;ΤΣΙΠΟΥΡΑ 2015;;Unchecked;;0;0;23.69;0;0;0;0;1;30;0.0206896552;1.085951361;143;0-20;0-20;GOOD;9/1/2014;29
REGION-1;SITE-2;119_Α3;119_ΤΣ_0914_109;ΤΣΙΠΟΥΡΑ;1.92;3.75;HATCH-1;;2014;September;9/30/2014;12/31/2014;10.56;38.95;38.1;2.23;35.72;10.56;BLUELINE 2,5 mm;ΒLUE LINE;FEEDUS;4620;0;0;144970;1530.8832;127755;4976.05725;0;0;0;3445.17405;3032.5254;1.3410062693;1.5234827052;17215;0;0;1.72;1.81;1.42;3060;0;-;ΤΣΙΠΟΥΡΑ 2015;;Unchecked;;0;0;21.88;0;0;0;0;2;17245;11.8931034483;1.3304634877;1729;0-20;20-50;GOOD;9/1/2014;121
REGION-1;SITE-1;121_Τ7;121_ΤΣ_0414_103;ΤΣΙΠΟΥΡΑ;0.79;1.09;HATCH-1;;2014;April;4/9/2014;4/30/2014;4.8;6.68;6.89;-3.05;6.86;4.8;MICROLINE 0,8-1,3 mm;MICROLINE;FEEDUS;338;0;0;131000;628.8;129800;867.064;0;0;0;238.264;261.628;1.4185945002;1.2919106518;1200;0;0;2.17;2.14;1.57;338;0;-;ΤΣΙΠΟΥΡΑ 2014;;Unchecked;;0;0;15.16;0;0;0;0;1;1200;0.9160305344;1.4185945002;319;0-20;0-20;BAD;4/1/2014;29
REGION-1;SITE-1;121_Τ7;121_ΤΣ_0414_103;ΤΣΙΠΟΥΡΑ;1.09;1.52;HATCH-1;;2014;April;4/30/2014;6/27/2014;6.68;15.84;15.72;0.76;12.75;6.68;BLUELINE 2.0mm;ΒLUE LINE;FEEDUS;1424.5;0;0;129800;867.064;127150;2014.056;0;0;0;1146.992;754.0985;1.2419441461;1.8890105205;2650;0;0;1.8;2.04;1.49;488;0;-;ΤΣΙΠΟΥΡΑ 2014;;Unchecked;;0;0;17.17;0;0;0;0;2;3850;2.9389312977;1.2633044001;978;0-20;0-20;GOOD;4/1/2014;87
REGION-1;SITE-1;121_Τ7;121_ΤΣ_0414_103;ΤΣΙΠΟΥΡΑ;1.52;5.14;HATCH-1;;2014;April;6/27/2014;8/31/2014;15.84;54.63;55.18;-1;38.26;15.84;BLUELINE 2,5 mm;ΒLUE LINE;FEEDUS;5932;0;0;127150;2014.056;124783;6816.89529;0;0;0;4802.83929;2760.14158;1.2351027469;2.1491651164;2367;0;0;2.32;2.85;1.9;3209;0;-;ΤΣΙΠΟΥΡΑ 2014;;Unchecked;;0;0;22.18;0;0;0;0;2;6217;4.7458015267;1.2294574733;1465;0-20;50-100;BAD;4/1/2014;152
REGION-1;SITE-1;121_Τ7;121_ΤΣ_0414_103;ΤΣΙΠΟΥΡΑ;5.14;9.14;HATCH-1;;2014;April;8/31/2014;9/25/2014;54.63;76.99;78.12;-1.45;55.4;54.63;BL 3.5 BREAM;ΒLUE LINE;FEEDUS;3471;0;0;124783;6816.89529;120214;9255.27586;0;0;0;2438.38057;-157.03969;1.4234857523;-22.1026926378;4579;0;0;1.74;2.06;1.37;1405;0;-;ΤΣΙΠΟΥΡΑ 2014;;Unchecked;;0;0;23.93;0;0;0;0;2;10786;8.2335877863;1.2622767601;621;50-100;50-100;BAD;4/1/2014;177
REGION-1;SITE-1;121_Τ7;121_ΤΣ_0414_103;ΤΣΙΠΟΥΡΑ;9.14;9.9;HATCH-1;;2014;April;9/25/2014;9/30/2014;76.99;83.43;84.33;-1.07;76.99;76.99;BL 3.5 BREAM;ΒLUE LINE;FEEDUS;1100;0;0;120214;9255.27586;120114;10021.11102;0;0;0;765.83516;-7.699;1.4363404261;-142.8756981426;100;0;0;2.28;2.38;1.61;795;0;-;ΤΣΙΠΟΥΡΑ 2014;;Unchecked;;0;0;23.47;0;0;0;0;2;10886;8.3099236641;1.2642255963;142;50-100;50-100;BAD;4/1/2014;182
REGION-1;SITE-1;121_Τ3;121_ΤΣ_0414_103;ΤΣΙΠΟΥΡΑ;5.92;6.2;HATCH-1;;2014;April;2/19/2015;3/31/2015;229.82;241.15;246.12;-2.02;246.2;229.82;SILVERLINE 5,0 mm;SILVER LINE;FEEDUS;1365;0;0;37605;8642.3811;37515;9046.74225;0;0;0;404.36115;593.8119;3.375695217;2.2987077221;90;0;0;0.39;0.38;0.12;1365;0;Α;ΤΣΙΠΟΥΡΑ 2015;;Unchecked;;0;0;13.86;0;0;1;0;2;4066.12;9.0688610908;1.5440570916;560;200-250;200-250;BAD;4/1/2014;364
REGION-1;SITE-2;119_Α8;119_ΤΣ_0714_107;ΤΣΙΠΟΥΡΑ;3.03;3.76;HATCH-2;;2014;July;1/21/2015;3/26/2015;102.23;127.85;123.74;3.32;123.6;102.23;BL 3.5 BREAM;ΒLUE LINE;FEEDUS;1537;0;0;39300;4017.639;39020;4988.707;0;0;0;971.068;805.233;1.582793378;1.9087642956;280;0;0;0.54;0.54;0.35;1537;0;Α;ΤΣΙΠΟΥΡΑ 2015;;Unchecked;;0;0;14.54;0;0;1;0;3;5327.45;12.0000126139;1.4228764164;903;100-150;100-150;GOOD;7/1/2014;268
REGION-1;SITE-2;119_50;119_ΤΣ_0714_108;ΤΣΙΠΟΥΡΑ;2.49;2.61;HATCH-1;;2014;July;1/28/2015;3/31/2015;77.89;82.81;92.4;-10.38;92.37;77.89;BL 3.5 BREAM;ΒLUE LINE;FEEDUS;1748;0;0;70800;5514.612;69675;5769.78675;0;0;0;255.17475;921.26775;6.8502075538;1.8973854235;1125;0;0;0.5;0.47;0.1;1748;0;Β;ΤΣΙΠΟΥΡΑ 2015;;Unchecked;;0;0;14.43;0;0;1;0;3;7506.51;9.7349450278;1.8471358374;882;50-100;50-100;BAD;7/1/2014;273
