Region;Site;Unit;Batch;Species;Start Fish Density;End Fish Density;Hatchery;Lot Quality;Origin Year;Origin Month;From;To;Start Av. Wt.;End Av.Wt.;Model End Av. Wt. Act. Feed;Av. Wt. Deviation (%);Av. Wt. Before Sampl.;Model End Av. Wt. Sugg. Feed;Actual Feed;Feed Category;Supplier;Period Feed Qty;Suggested Feed Qty;Feed Deviation (%);Opening Fish No;Opening Biomass;Closing Fish No;Closing Biomass;Harvest Biomass;Transfer - (Kg);Transfer + (Kg);Biomass Produced;Biomass Produced Before Sampl.;Econ. FCR Period;Econ FCR Period Before Sampl.;Mortality No;Model Mortality No;Mortality Deviation (%);SFR Period (%);SFR Period (%) Before Sampl.;SGR Period (%);Max Feed Qty;Food Price;Current Grading;Feeding Policy;Group Tag;Vaccinated;Feeder;Feeding Rate (Kg / Hour);Fastings No;Avg. Temp.;Avg. Oxygene;Transfer - (No);Transfer + (No);Harvest (No);Sampling (No);LTD Mortality No;LTD Mortality %;LTD Econ. FCR;Period Day Degrees;Start Av. Weight Category;End Av. Weight Category;Days;CLASS;LOTSTART;AGE;LTD Day Degrees;Period Mortality %
REGION-3;SITE-8;213_23-0-0;213_‘”_0514_58;‘”…–œ’—¡;3,23;4,28;HATCHERY-4;2,11 %;2014;June;30/9/2014;30/10/2014;122;163;164,49;-0,91;144,55;122;LINE-2 5,0 mm;LINE-2;SUPPLIER-1;4592;0;0;75000;9150;74420;12130,46;0;0;0;2980,46;1607,411;1,5407017709;2,8567678086;580;0;0;1,45;1,54;0,97;3247;0;¡;‘”…–œ’—¡ 2015;;Unchecked;;0;0;21,52;0;0;0;0;2;10850,08;13,5409007066;1,2574434978;648;100-150;150-200;30;BAD;1/5/2014;182;3916,64;0,7733333333
REGION-3;SITE-8;213_23-0-0;213_‘”_0514_58;‘”…–œ’—¡;4,28;5,58;HATCHERY-4;2,11 %;2014;June;30/10/2014;15/12/2014;163;215;215,85;-0,39;215,67;163;LINE-2 5,0 mm;LINE-2;SUPPLIER-1;6475;0;0;74420;12130,46;73570;15817,55;0;0;0;3687,09;3736,3819;1,756127461;1,732959899;1050;0;0;1,01;1,01;0,6;6025;0;¡;‘”…–œ’—¡ 2015;;Unchecked;;0;0;18,69;0;0;0;0;2;11900,08;14,8513007905;1,3750021081;818;150-200;200-250;46;BAD;1/5/2014;228;4261,32;1,4109110454
REGION-3;SITE-8;213_23-0-0;213_‘”_0514_58;‘”…–œ’—¡;5,58;6;HATCHERY-4;2,11 %;2014;June;15/12/2014;31/12/2014;215;232,29;232,52;-0,1;225,51;215;LINE-1 5,0 mm;LINE-1;SUPPLIER-1;2400;0;0;73570;15817,55;73220;17008,2738;0;0;0;1190,7238;694,2922;2,0155807753;3,4567578319;350;0;0;0,91;0,93;0,48;2400;0;¡;‘”…–œ’—¡ 2015;;Unchecked;;0;0;16,69;0;0;0;0;2;12250,08;15,2881008184;1,4132639864;263;200-250;200-250;16;BAD;1/5/2014;244;4072,36;0,475737393
REGION-3;SITE-8;213_23-0-0;213_‘”_0514_58;‘”…–œ’—¡;6;6,5;HATCHERY-4;2,11 %;2014;…Ô˝ÌÈÔÚ;31/12/2014;27/3/2015;232,29;255;274,34;-7,05;250,64;232,29;LINE-1 5,0 mm;LINE-1;SUPPLIER-1;6536;0;0;73220;17008,2738;72230;18418,65;0;0;0;1410,3762;1095,4534;4,6342245424;5,9664792679;990;0;0;0,43;0,43;0,11;6236;0;¡;‘”…–œ’—¡ 2015;;Unchecked;;0;0;14,6;0;0;0;0;4;13240,08;16,5236208975;1,6603083947;1121;200-250;250-300;86;BAD;1/5/2014;330;4818;1,352089593
REGION-3;SITE-8;213_25-0-0;213_‘”_0514_58;‘”…–œ’—¡;2,92;3,44;HATCHERY-4;;2014;May;14/10/2014;30/10/2014;109,96;130;126,1;3,09;124,73;109,96;BL 3.5 BASS;LINE-2;SUPPLIER-1;1741;0;0;75220;8271,1912;75020;9752,6;0;0;0;1481,4088;1086,0534;1,1752326569;1,603051931;380;0;0;1,21;1,24;1,05;990;0;¬;‘”…–œ’—¡ 2015;;Unchecked;;0;0;21,26;0;0;1;0;1;12099,66;14,5829795455;1,4807113639;362;100-150;100-150;16;GOOD;1/5/2014;182;3869,32;0,5051847913
REGION-3;SITE-8;213_25-0-0;213_‘”_0514_58;‘”…–œ’—¡;3,44;4,73;HATCHERY-4;;2014;May;30/10/2014;15/12/2014;130;181;173,8;4,14;173,43;130;LINE-2 5,0 mm;LINE-2;SUPPLIER-1;5225;0;0;75020;9752,6;74110;13413,91;0;0;0;3661,31;3100,2973;1,4270848412;1,6853222431;910;0;0;0,99;1,01;0,72;4550;0;¬;‘”…–œ’—¡ 2015;;Unchecked;;0;0;18,69;0;0;0;0;2;13009,66;15,679746842;1,4570062306;818;100-150;150-200;46;GOOD;1/5/2014;228;4261,32;1,213009864
REGION-3;SITE-8;213_25-0-0;213_‘”_0514_58;‘”…–œ’—¡;4,73;5,03;HATCHERY-4;;2014;May;15/12/2014;31/12/2014;181;193,41;193,66;-0,13;188,61;181;LINE-1 5,0 mm;LINE-1;SUPPLIER-1;1625;0;0;74110;13413,91;73760;14265,9216;0;0;0;852,0116;497,9636;1,907251028;3,2632907305;350;0;0;0,73;0,74;0,41;1625;0;¬;‘”…–œ’—¡ 2015;;Unchecked;;0;0;16,69;0;0;0;0;2;13359,66;16,1015804176;1,478245552;263;150-200;150-200;16;BAD;1/5/2014;244;4072,36;0,4722709486
REGION-3;SITE-8;213_25-0-0;213_‘”_0514_58;‘”…–œ’—¡;5,03;5,65;HATCHERY-4;;2014;Ã‹ÈÔÚ;31/12/2014;27/3/2015;193,41;220;228,67;-3,79;227,26;193,41;LINE-1 5,0 mm;LINE-1;SUPPLIER-1;5355;0;0;73760;14265,9216;72770;16009,4;0;0;0;1743,4784;2271,7886;3,0714461389;2,3571735504;990;0;0;0,41;0,41;0,15;5055;0;¬;‘”…–œ’—¡ 2015;;Unchecked;;0;0;14,6;0;0;0;0;4;14349,66;17,294766817;1,6506479553;1121;150-200;200-250;86;BAD;1/5/2014;330;4818;1,3421908894
REGION-3;SITE-8;213_31-0-0;213_‘”_0514_58;‘”…–œ’—¡;;;HATCHERY-4;6,65%;2014;May;13/5/2014;31/5/2014;11;16;13,84;15,61;13,27;11;LINE-2 2.0mm;LINE-2;SUPPLIER-1;491;0;0;54100;595,1;157100;2513,6;0;0;1131,9;786,6;357,717;0,6242054411;1,3725934188;2900;0;0;5;9,56;2,08;491;0;¡;‘”…–œ’—¡ 2015;;Unchecked;;0;0;19,11;0;0;1;0;1;2900;1,8125;0,6320477833;192;0-20;0-20;18;GOOD;1/5/2014;30;573,3;5,3604436229
REGION-3;SITE-8;213_31-0-0;213_‘”_0514_58;‘”…–œ’—¡;;;HATCHERY-4;6,65%;2014;May;31/5/2014;30/6/2014;16;30;29,13;2,99;29,34;16;LINE-2 2,5 mm;LINE-2;SUPPLIER-1;2484;0;0;157100;2513,6;154000;4620;0;0;0;2106,4;2004,76;1,1792631979;1,2390510585;3100;0;0;2,39;2,42;2,1;2220;0;¡;‘”…–œ’—¡ 2015;;Unchecked;;0;0;21,71;0;0;0;0;2;6000;3,75;1,0231545067;634;0-20;20-50;30;GOOD;1/5/2014;60;1302,6;1,973265436
